Sample	Phylum	Number	Group
MDHFG22-1	UBP6	3.71899391364219e-05	DH_FY
MDHFG23-2	UBP6	2.48243187478515e-05	DH_FY
MDHFG2-3	UBP6	4.44303409528534e-05	DH_FY
MDHFG24-1	UBP6	3.3805023346703e-05	DH_FY
MDHFG27-2	UBP6	3.05718251525629e-05	DH_FY
MDHFG28-2	UBP6	1.8902572294278e-05	DH_FY
MDHFG29-2	UBP6	2.59716951103318e-05	DH_FY
MDHFG30-2	UBP6	3.17520250081225e-05	DH_FY
MDHFG31-2	UBP6	3.97013387807322e-05	DH_FY
MDHFG34-2	UBP6	2.19805062271689e-05	DH_FY
MDHFG35-2	UBP6	3.06678752271754e-05	DH_FY
MDHFG36-1	UBP6	3.19952620804431e-05	DH_FY
MDHFG37-2	UBP6	4.48438860940575e-05	DH_FY
MDHFG38-2	UBP6	3.89688488017451e-05	DH_FY
MDHFG4-2	UBP6	4.11661689905339e-05	DH_FY
MDHFG5-2	UBP6	2.32827704607933e-05	DH_FY
MDHFG6-1	UBP6	4.71506624724827e-05	DH_FY
MDHFG7-2	UBP6	3.96080246915154e-05	DH_FY
MDHFG8-1	UBP6	2.39805400773791e-05	DH_FY
MDHFG9-1	UBP6	4.33282947037777e-05	DH_FY
MDHFT10-1	UBP6	2.17043871563635e-05	DH_JY
MDHFT1-1	UBP6	2.23627855487454e-05	DH_JY
MDHFT14-1	UBP6	1.72955060237871e-05	DH_JY
MDHFT15-1	UBP6	2.49804472882242e-05	DH_JY
MDHFT16-1	UBP6	2.65275837372477e-05	DH_JY
MDHFT17-1	UBP6	2.60534491053288e-05	DH_JY
MDHFT18-1	UBP6	2.79448059933289e-05	DH_JY
MDHFT19-1	UBP6	2.73289111614162e-05	DH_JY
MDHFT20-1	UBP6	2.30607906198615e-05	DH_JY
MDHFT21-1	UBP6	2.69055263897082e-05	DH_JY
MDHFT2-1	UBP6	2.68777131598606e-05	DH_JY
MDHFT23-1	UBP6	2.65969703514051e-05	DH_JY
MDHFT24-1	UBP6	2.93040664866819e-05	DH_JY
MDHFT25-2	UBP6	2.19483329713947e-05	DH_JY
MDHFT26-2	UBP6	2.26166547143323e-05	DH_JY
MDHFT27-1	UBP6	2.17708774284041e-05	DH_JY
MDHFT29-1	UBP6	2.59667677455744e-05	DH_JY
MDHFT30-1	UBP6	2.77218944994044e-05	DH_JY
MDHFT31-1	UBP6	2.95533213232745e-05	DH_JY
MDHFT3-1	UBP6	2.08588415218323e-05	DH_JY
MDHFT32-1	UBP6	3.1015617856046e-05	DH_JY
MDHFT33-1	UBP6	2.27146058809077e-05	DH_JY
MDHFT34-1	UBP6	2.17273931227062e-05	DH_JY
MDHFT35-2	UBP6	3.48340451486112e-05	DH_JY
MDHFT4-1	UBP6	3.50617619598762e-05	DH_JY
MDHFT6-1	UBP6	2.50153177812818e-05	DH_JY
MDHFT7-1	UBP6	2.6156904445021e-05	DH_JY
MDHFT8-1	UBP6	2.19754378672086e-05	DH_JY
MDHFG10-1	Campylobacterota	0.000655322253773434	DH_FY
MDHFG11-2	Campylobacterota	0.000706495217805423	DH_FY
MDHFG1-1	Campylobacterota	0.000353529298317813	DH_FY
MDHFG12-2	Campylobacterota	0.000412942157295968	DH_FY
MDHFG13-1	Campylobacterota	0.000565507090385324	DH_FY
MDHFG14-2	Campylobacterota	0.000297814629530604	DH_FY
MDHFG16-2	Campylobacterota	0.00106518762513687	DH_FY
MDHFG17-2	Campylobacterota	0.000619865075217796	DH_FY
MDHFG18-2	Campylobacterota	0.000494763145612085	DH_FY
MDHFG19-2	Campylobacterota	0.00237926417723468	DH_FY
MDHFG22-1	Campylobacterota	0.000372816954574269	DH_FY
MDHFG23-2	Campylobacterota	0.00223194042841121	DH_FY
MDHFG2-3	Campylobacterota	0.000556838527726516	DH_FY
MDHFG24-1	Campylobacterota	0.00145995651665856	DH_FY
MDHFG27-2	Campylobacterota	0.00376795783746963	DH_FY
MDHFG28-2	Campylobacterota	0.000108652303678634	DH_FY
MDHFG29-2	Campylobacterota	0.000808730990493501	DH_FY
MDHFG30-2	Campylobacterota	0.000212529072524133	DH_FY
MDHFG31-2	Campylobacterota	0.00021938674882994	DH_FY
MDHFG34-2	Campylobacterota	0.000133577426286127	DH_FY
MDHFG35-2	Campylobacterota	0.000188749416206919	DH_FY
MDHFG36-1	Campylobacterota	0.000626872238361947	DH_FY
MDHFG37-2	Campylobacterota	0.00036537112355055	DH_FY
MDHFG38-2	Campylobacterota	0.00159189885979601	DH_FY
MDHFG4-2	Campylobacterota	0.000497930413618408	DH_FY
MDHFG5-2	Campylobacterota	0.000285776199599441	DH_FY
MDHFG6-1	Campylobacterota	0.000324092687598163	DH_FY
MDHFG7-2	Campylobacterota	0.000195936674303677	DH_FY
MDHFG8-1	Campylobacterota	0.000567368596665677	DH_FY
MDHFG9-1	Campylobacterota	0.0315051853633996	DH_FY
MDHFT10-1	Campylobacterota	0.00220634778355719	DH_JY
MDHFT1-1	Campylobacterota	0.00203094748032722	DH_JY
MDHFT14-1	Campylobacterota	0.00259567889539581	DH_JY
